,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
226,108320,KR7108320003,LX세미콘,KOSPI,,79000,1,8000,11.27,71200,80900,70700,820395,63389633500,1284879700000,16264300,STK
227,005300,KR7005300009,롯데칠성,KOSPI,,137600,2,-1100,-0.79,138100,139000,136300,20275,2789219700,1276774438400,9278884,STK
228,137310,KR7137310009,에스디바이오센서,KOSPI,,10240,1,80,0.79,10110,10330,10110,60285,616688710,1274648094720,124477353,STK
229,082740,KR7082740002,한화엔진,KOSPI,,15220,2,-430,-2.75,15880,16940,15060,3432212,55138888000,1270065501240,83447142,STK
230,395400,KR7395400005,SK리츠,KOSPI,,4675,2,-25,-0.53,4710,4735,4630,421535,1972534045,1262870274325,270132679,STK
231,084370,KR7084370006,유진테크,KOSDAQ,우량기업부,54900,1,200,0.37,55500,57400,54700,194269,10852899300,1258090705800,22916042,KSQ
232,253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,41700,3,0,0.0,41800,42000,41150,28451,1186019250,1253439366600,30058498,KSQ
233,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,18840,2,-770,-3.93,19410,19640,18840,449810,8603937730,1238363524320,65730548,KSQ
234,000400,KR7000400002,롯데손해보험,KOSPI,,3990,1,40,1.01,3945,4040,3880,1029723,4102360320,1238241916800,310336320,STK
235,018290,KR7018290007,브이티,KOSDAQ,우량기업부,34250,2,-2200,-6.04,36700,37000,34100,1330124,46471870100,1226081739750,35798007,KSQ
236,145720,KR7145720009,덴티움,KOSPI,,109000,2,-700,-0.64,109700,109900,108700,34944,3815270400,1206502470000,11068830,STK
237,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,60400,2,-200,-0.33,60000,61200,59200,60129,3615262000,1194571509600,19777674,KSQ
238,000210,KR7000210005,DL,KOSPI,,56900,1,1100,1.97,56100,57100,55000,72303,4028879900,1192389799600,20955884,STK
